Frage;Antwort
"Was ist die Hauptfunktion der Alveolen in der Lunge?";"Die Alveolen sind für den Gasaustausch zuständig; Sauerstoff diffundiert aus der eingeartmeten Luft ins Blut und Kohlendioxid aus dem Blut in die Alveolen zur Ausatmung."
"Nennen Sie die Hauptbestandteile des Herz-Reizleitungssystems in der korrekten Reihenfolge ihrer Erregungsausbreitung.";"Sinusknoten, AV-Knoten, His-Bündel, Tawara-Schenkel (linker und rechter Kammerschenkel), Purkinje-Fasern."
"Welche Aufgabe hat das Zwerchfell bei der Atmung?";"Das Zwerchfell (Diaphragma) ist der Hauptatemmuskel. Bei seiner Kontraktion senkt es sich, vergrößert das Thoraxvolumen und erzeugt einen Unterdruck in der Lunge, was zur Inspiration (Einatmung) führt. Bei der Exspiration (Ausatmung) entspannt es sich."
"Was versteht man unter dem Totraumvolumen der Lunge?";"Das Totraumvolumen ist der Teil des Respirationstrakts, der zwar belüftet wird, aber nicht am Gasaustausch teilnimmt (z.B. Nase, Rachen, Trachea, Bronchien)."
"Welche grundlegende Funktion haben Arterien und Venen im Blutkreislauf?";"Arterien transportieren Blut vom Herzen weg (meist sauerstoffreich, Ausnahme A. pulmonalis). Venen transportieren Blut zum Herzen hin (meist sauerstoffarm, Ausnahme Vv. pulmonales)."
"Erklären Sie den Unterschied zwischen dem sympathischen und parasympathischen Nervensystem anhand ihrer Wirkung auf die Herzfrequenz.";"Der Sympathikus wirkt aktivierend und steigert u.a. die Herzfrequenz (Tachykardie). Der Parasympathikus wirkt hemmend und senkt u.a. die Herzfrequenz (Bradykardie)."
"Was ist die Funktion des Hämoglobins im Blut?";"Hämoglobin ist der rote Blutfarbstoff in den Erythrozyten und ist primär für den Sauerstofftransport im Blut von der Lunge zu den Geweben verantwortlich. Es bindet auch einen Teil des Kohlendioxids für den Rücktransport."
"Nennen Sie die vier Hauptkammern des Herzens und ihre primäre Funktion im Blutfluss.";"Rechter Vorhof (Atrium dextrum): Sammelt sauerstoffarmes Blut aus dem Körperkreislauf. Rechte Herzkammer (Ventriculus dexter): Pumpt sauerstoffarmes Blut in die Lunge. Linker Vorhof (Atrium sinistrum): Sammelt sauerstoffreiches Blut aus der Lunge. Linke Herzkammer (Ventriculus sinister): Pumpt sauerstoffreiches Blut in den Körperkreislauf."
"Erklären Sie die Pathophysiologie eines Asthmaanfalls.";"Bei einem Asthmaanfall kommt es zu einer anfallsartigen Verengung der Bronchien (Bronchokonstriktion), einer Schwellung der Bronchialschleimhaut (Ödem) und einer vermehrten Produktion von zähem Schleim. Dies führt zu Atemnot, Giemen und Husten."
"Was ist der pathophysiologische Unterschied zwischen einem ischämischen und einem hämorrhagischen Schlaganfall?";"Beim ischämischen Schlaganfall kommt es zu einer Minderdurchblutung eines Hirnareals durch den Verschluss eines Blutgefäßes (z.B. durch Thrombus oder Embolus). Beim hämorrhagischen Schlaganfall kommt es zu einer Blutung ins Hirngewebe durch das Platzen eines Blutgefäßes."
"Wie entsteht ein Spannungspneumothorax und warum ist er lebensbedrohlich?";"Ein Spannungspneumothorax entsteht, wenn durch eine Verletzung der Lunge oder Brustwand Luft in den Pleuraspalt eindringt und bei Inspiration nicht mehr entweichen kann (Ventilmechanismus). Dies führt zu einem zunehmenden Druck im Pleuraraum, Kompression der Lunge, Verlagerung des Mediastinums zur Gegenseite und Behinderung des venösen Rückstroms zum Herzen, was zu einem Kreislaufversagen führen kann."
"Erklären Sie die Pathophysiologie des kardiogenen Lungenödems.";"Beim kardiogenen Lungenödem führt eine Linksherzinsuffizienz (z. B. bei Herzinfarkt) zu einem Rückstau von Blut in den Lungenkreislauf. Der erhöhte Druck in den Lungenkapillaren presst Flüssigkeit in das Interstitium und schließlich in die Alveolen, was den Gasaustausch behindert und zu schwerer Dyspnoe führt."
"Was passiert pathophysiologisch bei einer Sepsis?";"Eine Sepsis ist eine lebensbedrohliche Organdysfunktion, die durch eine fehlregulierte Körperantwort auf eine Infektion ausgelöst wird. Es kommt zu einer generalisierten Entzündungsreaktion, die zu Gefäßdilatation, erhöhter Kapillarpermeabilität, Gerinnungsstörungen und letztlich zu Multiorganversagen führen kann."
"Nennen Sie die Hauptkomponenten des ABCDE-Schemas und was jeweils kurz beurteilt wird.";"A (Airway/Atemweg): Sind die Atemwege frei? B (Breathing/Beatmung): Atmet der Patient ausreichend und effektiv? C (Circulation/Kreislauf): Ist der Kreislauf stabil? Gibt es Anzeichen für einen Schock? D (Disability/Defizit, neurologisch): Wie ist der Bewusstseinszustand? Gibt es neurologische Ausfälle? E (Exposure/Environment/Exploration): Ganzkörperuntersuchung, Wärmeerhalt, Umfeld beachten."
"Welche Informationen werden mit dem SAMPLER-Schema erfasst?";"S (Symptome): Aktuelle Beschwerden. A (Allergien): Bekannte Allergien. M (Medikamente): Regelmäßig eingenommene Medikamente. P (Patientengeschichte/Vorerkrankungen): Relevante Vorerkrankungen. L (Letzte Mahlzeit/Stuhlgang/Periode): Zeitpunkt der letzten Nahrungsaufnahme etc. E (Ereignis): Was hat zu der aktuellen Situation geführt? R (Risikofaktoren): Gibt es Risikofaktoren?"
"Was ist das Ziel der ""Primary Survey"" (Erstbeurteilung) bei einem Notfallpatienten?";"Das Ziel der Primary Survey ist die schnelle Identifikation und sofortige Behandlung von lebensbedrohlichen Zuständen nach dem ABCDE-Schema."
"Welche Aspekte umfasst die ""Secondary Survey"" (Zweitbeurteilung) und wann wird sie durchgeführt?";"Die Secondary Survey umfasst eine detailliertere Anamnese (z.B. SAMPLER), eine gründlichere körperliche Untersuchung von Kopf bis Fuß und eine erweiterte Überwachung. Sie wird durchgeführt, nachdem alle lebensbedrohlichen Probleme der Primary Survey behandelt wurden."
"Was bedeutet der Begriff ""kritischer Patient"" im Rettungsdienst und welche Konsequenzen hat diese Einschätzung?";"Ein kritischer Patient ist ein Patient mit einer akuten Störung der Vitalfunktionen oder einem hohen Risiko für deren Entwicklung. Die Konsequenz ist eine priorisierte Behandlung, oft schnelle Transportentscheidung (""Load and Go"") und frühzeitige Alarmierung des Notarztes und der Zielklinik."
