Frage;Antwort
Ab wann spricht man von Bradykardie?;Bei einer Herzfrequenz unter 60 Schlägen pro Minute.
Ab wann spricht man von Tachykardie?;Bei einer Herzfrequenz über 100 Schlägen pro Minute.
Ab wann spricht man von Hypotonie?;Bei systolischem Blutdruck unter 90 mmHg oder diastolischem Blutdruck unter 60 mmHg.
Ab wann spricht man von Hypertonie?;Bei systolischem Blutdruck ≥ 140 mmHg und/oder diastolischem Blutdruck ≥ 90 mmHg.
Ab wann spricht man von Tachypnoe?;Bei einer Atemfrequenz über 20 Atemzügen pro Minute.
Ab wann spricht man von Bradypnoe?;Bei einer Atemfrequenz unter 10 Atemzügen pro Minute.
Ab wann spricht man von Hypoxie?;Bei einer Sauerstoffsättigung (SpO2) unter 90 %.
Ab wann spricht man von schwerer Hypoxie?;Bei einer Sauerstoffsättigung (SpO2) unter 85 %.
Ab wann spricht man von Fieber beim Erwachsenen?;Bei einer Körperkerntemperatur über 38 °C.
Ab wann spricht man von leichtem Fieber?;Bei 38,1 °C bis 38,5 °C.
Ab wann spricht man von hohem Fieber?;Bei 39,1 °C bis 39,9 °C.
Ab wann spricht man von sehr hohem Fieber?;Bei Temperaturen über 40 °C.
Ab wann gilt ein Apgar-Score als normal?;Ein Apgar-Score von 7 bis 10 ist normal.
Ab wann gilt ein Apgar-Score als kritisch/niedrig?;"Ein Apgar-Score von 0 bis 3 ist kritisch; 4 bis 6 ist mäßig abnormal."
Wie tief komprimiert man beim CPR eines Erwachsenen?;5–6 cm Tiefe auf der unteren Hälfte des Sternums.
Mit welcher Frequenz müssen CPR-Kompressionen erfolgen?;100–120 Kompressionen pro Minute.
Ab wann spricht man von einem schweren Schädel-Hirn-Trauma nach GCS?;Bei einem GCS-Score von 3 bis 8.
Ab wann spricht man von einem mittelschweren Schädel-Hirn-Trauma nach GCS?;Bei einem GCS-Score von 9 bis 12.
Ab wann spricht man von einem leichten Schädel-Hirn-Trauma nach GCS?;Bei einem GCS-Score von 13 bis 15.
Wann ist eine orthostatische Hypotonie diagnostiziert?;Wenn der systolische Blutdruck innerhalb von 3 Minuten um > 20 mmHg fällt oder unter 90 mmHg.
Was versteht man unter Herzinsuffizienz?;Herzschwäche
Was versteht man unter Arrhythmie?;Herzrhythmusstörung
Was versteht man unter Dyspnoe?;Atemnot
Was versteht man unter Apnoe?;Atemstillstand
Was versteht man unter Anaphylaxie?;Schwere allergische Reaktion
Was versteht man unter Hyperglykämie?;Blutzucker > 180 mg/dl
Was versteht man unter Hypoglykämie?;Blutzucker < 60 mg/dl
Was versteht man unter Hyperthermie?;Körpertemperatur > 41 °C
Was versteht man unter Hypothermie?;Körpertemperatur < 35 °C
Was versteht man unter Schock?;Kreislaufversagen mit CRP < 100 mmHg und mentaler Veränderung
Was versteht man unter Herzinsuffizienz?;Herzschwäche
Was versteht man unter Arrhythmie?;Herzrhythmusstörung
Was versteht man unter Dyspnoe?;Atemnot
Was versteht man unter Apnoe?;Atemstillstand
Was versteht man unter Anaphylaxie?;Schwere allergische Reaktion
Was versteht man unter Hyperglykämie?;Blutzucker > 180 mg/dl
Was versteht man unter Hypoglykämie?;Blutzucker < 60 mg/dl
Was versteht man unter Hyperthermie?;Körpertemperatur > 41 °C
Was versteht man unter Hypothermie?;Körpertemperatur < 35 °C
Was versteht man unter Schock?;Kreislaufversagen mit CRP < 100 mmHg und mentaler Veränderung
Was versteht man unter Herzinsuffizienz?;Herzschwäche
Was versteht man unter Arrhythmie?;Herzrhythmusstörung
Was versteht man unter Dyspnoe?;Atemnot
Was versteht man unter Apnoe?;Atemstillstand
Was versteht man unter Anaphylaxie?;Schwere allergische Reaktion
Was versteht man unter Hyperglykämie?;Blutzucker > 180 mg/dl
Was versteht man unter Hypoglykämie?;Blutzucker < 60 mg/dl
Was versteht man unter Hyperthermie?;Körpertemperatur > 41 °C
Was versteht man unter Hypothermie?;Körpertemperatur < 35 °C
Was versteht man unter Schock?;Kreislaufversagen mit CRP < 100 mmHg und mentaler Veränderung
Was versteht man unter Herzinsuffizienz?;Herzschwäche
Was versteht man unter Arrhythmie?;Herzrhythmusstörung
Was versteht man unter Dyspnoe?;Atemnot
Was versteht man unter Apnoe?;Atemstillstand
Was versteht man unter Anaphylaxie?;Schwere allergische Reaktion
Was versteht man unter Hyperglykämie?;Blutzucker > 180 mg/dl
Was versteht man unter Hypoglykämie?;Blutzucker < 60 mg/dl
Was versteht man unter Hyperthermie?;Körpertemperatur > 41 °C
Was versteht man unter Hypothermie?;Körpertemperatur < 35 °C
Was versteht man unter Schock?;Kreislaufversagen mit CRP < 100 mmHg und mentaler Veränderung
Was versteht man unter Herzinsuffizienz?;Herzschwäche
Was versteht man unter Arrhythmie?;Herzrhythmusstörung
Was versteht man unter Dyspnoe?;Atemnot
Was versteht man unter Apnoe?;Atemstillstand
Was versteht man unter Anaphylaxie?;Schwere allergische Reaktion
Was versteht man unter Hyperglykämie?;Blutzucker > 180 mg/dl
Was versteht man unter Hypoglykämie?;Blutzucker < 60 mg/dl
Was versteht man unter Hyperthermie?;Körpertemperatur > 41 °C
Was versteht man unter Hypothermie?;Körpertemperatur < 35 °C
Was versteht man unter Schock?;Kreislaufversagen mit CRP < 100 mmHg und mentaler Veränderung
Was versteht man unter Herzinsuffizienz?;Herzschwäche
Was versteht man unter Arrhythmie?;Herzrhythmusstörung
Was versteht man unter Dyspnoe?;Atemnot
Was versteht man unter Apnoe?;Atemstillstand
